drug_name,num_prescriber,total_cost
CHLORHEXIDINE GLUCONATE,32174,6561110
KADIAN,287,6534449
FYCOMPA,393,6502959
ALREX,1071,6497706
UCERIS,284,6445390
BISOPROLOL-HYDROCHLOROTHIAZIDE,21474,6389800
THIOLA,68,6375889
LITHIUM CARBONATE ER,11920,6334946
PENTOXIFYLLINE,11311,6314488
LITHIUM CARBONATE,22305,6309117
APIDRA,849,6307099
GLATOPA,92,6285614
DUTASTERIDE,1564,6268926
KORLYM,20,6218343
NILANDRON,66,6196152
INVEGA TRINZA,74,6167203
VERAPAMIL HCL,12087,6135865
HYDROXYZINE PAMOATE,16440,6111668
FLUDROCORTISONE ACETATE,13981,6084490
OLOPATADINE HCL,1274,6079116
PIROXICAM,3569,6074412
BEPREVE,710,6031966
TIAGABINE HCL,896,5993681
ELIDEL,724,5958922
ZYPREXA RELPREVV,162,5956766
SOMATULINE DEPOT,78,5923986
LOPERAMIDE,12629,5921552
MERCAPTOPURINE,2514,5898691
EMEND,392,5887482
BROMOCRIPTINE MESYLATE,1599,5872553
ZELBORAF,56,5821733
NEURONTIN,807,5793581
ZYFLO CR,128,5780926
EDARBYCLOR,1540,5775544
SYMLINPEN 120,276,5760760
DEXAMETHASONE,15705,5714380
MOMETASONE FUROATE,9330,5693332
PROCTOSOL-HC,4983,5667872
THIOTHIXENE,3817,5647369
DICLOFENAC SODIUM-MISOPROSTOL,2252,5645195
ZAFIRLUKAST,3477,5640323
JUBLIA,541,5635216
BROMFENAC SODIUM,1095,5632105
EVISTA,1553,5630383
LEVETIRACETAM ER,2878,5590995
ZYKADIA,40,5563843
BROVANA,655,5530965
EDARBI,1598,5488373
PROZAC,655,5484819
HALOPERIDOL DECANOATE 100,2362,5456032
FERRIPROX,32,5430503
RIZATRIPTAN,7561,5414845
DEMECLOCYCLINE HCL,969,5391070
BACITRACIN,2363,5388748
RISPERDAL,502,5378757
RILUZOLE,591,5366339
MOXIFLOXACIN HCL,2447,5357306
ADACEL TDAP,3209,5326778
TRIFLUOPERAZINE HCL,3799,5269757
RAPAMUNE,238,5268112
EVOTAZ,176,5249843
ABSTRAL,24,5244202
SELEGILINE HCL,1909,5172798
ZEGERID,253,5165254
TAZTIA XT,8552,5161196
KETOPROFEN,574,5127189
BETAMETHASONE VALERATE,4553,5110963
DOXERCALCIFEROL,359,5089426
MYALEPT,6,5023543
SILVER SULFADIAZINE,7755,5018162
ZORTRESS,109,4967883
METHIMAZOLE,13939,4966087
VALCHLOR,43,4955398
INDAPAMIDE,12240,4911484
TASMAR,37,4879381
AMBIEN,818,4858835
DARAPRIM,46,4853473
CAPRELSA,31,4842955
LOTRONEX,148,4831287
FENTANYL CITRATE,161,4807001
GLYCOPYRROLATE,4405,4784606
EYLEA,66,4779046
OXAPROZIN,1715,4766552
ISTALOL,894,4759696
CLORAZEPATE DIPOTASSIUM,9613,4757418
BENLYSTA,87,4750277
FLUOCINOLONE ACETONIDE OIL,1234,4721276
NYAMYC,5161,4701939
MEDROXYPROGESTERONE ACETATE,11983,4670329
FINACEA,990,4654072
PALIPERIDONE ER,356,4631793
CABERGOLINE,1677,4624344
HEPARIN SODIUM,2562,4607593
MYFORTIC,264,4590879
OPDIVO,25,4532000
DIOVAN HCT,1328,4526575
PEG 3350-ELECTROLYTE,5927,4516660
COSOPT PF,1335,4514477
TESTIM,518,4512787
FLUPHENAZINE HCL,8627,4478022
GENOTROPIN,151,4476712
NAFTIN,462,4451690
FRAGMIN,152,4438272
MEROPENEM,1140,4432645
GAVILYTE-N,4179,4395206
BETOPTIC S,780,4390816
ZYVOX,92,4385926
SULFASALAZINE DR,2539,4373635
CEFPODOXIME PROXETIL,2234,4342485
AZASITE,890,4327294
DESIPRAMINE HCL,2898,4306626
LUNESTA,832,4301519
ITRACONAZOLE,491,4286351
SURE COMFORT,5742,4270471
CARBATROL,1144,4265921
GLYBURIDE-METFORMIN HCL,9138,4241660
HORIZANT,530,4235378
REGRANEX,176,4231093
EMSAM,216,4213711
DILTIAZEM 12HR ER,2583,4212637
ETODOLAC ER,1425,4160250
XALATAN,1379,4155977
HUMATROPE,127,4126493
UNIFINE PENTIPS,7321,4121837
IMIPRAMINE HCL,9856,4087741
XANAX,861,3995918
MISOPROSTOL,3281,3993652
CARIMUNE NF NANOFILTERED,32,3978675
SANDOSTATIN LAR,50,3966487
CYCLOSPORINE MODIFIED,1260,3959644
ALIMTA,44,3937568
SAIZEN,28,3936429
INVIRASE,230,3934040
NAPROXEN SODIUM,5025,3926249
GABITRIL,425,3920970
PERFOROMIST,408,3915950
MIRAPEX ER,393,3914882
TIMOPTIC OCUDOSE,418,3885982
ALCOHOL PADS,3813,3885045
COSENTYX PEN (2 PENS),40,3879864
AMBIEN CR,785,3870494
SODIUM CHLORIDE,6467,3866344
HYDROCODONE-IBUPROFEN,4850,3846354
DEXTROAMPHETAMINE SULFATE,1478,3819098
BIVIGAM,14,3777023
SANCUSO,153,3776178
OLANZAPINE-FLUOXETINE HCL,629,3772846
FUZEON,87,3761780
RAYOS,84,3756297
INTRALIPID,428,3723273
CEFEPIME HCL,1144,3697040
ADDERALL XR,693,3610843
DIHYDROERGOTAMINE MESYLATE,93,3605738
AXIRON,376,3561558
RISEDRONATE SODIUM DR,763,3558872
PICATO,244,3558216
ANAGRELIDE HCL,1383,3553413
MEGACE ES,220,3550420
SINGULAIR,1165,3542154
VIVITROL,148,3518025
PENICILLIN V POTASSIUM,15687,3508142
CARDIZEM CD,222,3505135
OXANDROLONE,211,3504160
E.E.S. 200,219,3483304
AURYXIA,193,3481651
OSENI,479,3471138
ANDRODERM,587,3443664
ARMOUR THYROID,5884,3430431
ORACEA,323,3395669
THIORIDAZINE HCL,4002,3381049
VIVELLE-DOT,1555,3372195
SANDOSTATIN LAR DEPOT,40,3371512
LOXAPINE,3132,3364658
RIBAVIRIN,748,3357147
FOSINOPRIL SODIUM,12998,3345370
TETRABENAZINE,28,3321849
TRIMETHOPRIM,6897,3318563
ALVESCO,533,3316824
NORVASC,1509,3273720
RUCONEST,3,3262024
KINERET,64,3202049
FLUVOXAMINE MALEATE ER,586,3190793
TRIAZOLAM,4443,3175211
VERAPAMIL ER PM,2705,3144681
COMETRIQ,20,3133586
ZAVESCA,10,3125059
VGO 40,491,3109469
NALTREXONE HCL,2748,3099587
ALDURAZYME,4,3090450
TEFLARO,124,3045755
OXAZEPAM,3167,3038261
LAMIVUDINE HBV,527,3036848
KLOR-CON 8,4861,3033538
MEXILETINE HCL,1483,3001292
ADEFOVIR DIPIVOXIL,258,2973048
LEVALBUTEROL HCL,1071,2951912
ULTICARE,3691,2928520
MIACALCIN,51,2910767
TYGACIL,138,2895264
OXTELLAR XR,299,2893036
RIBASPHERE RIBAPAK,142,2887419
SULINDAC,6346,2867375
PROCHLORPERAZINE MALEATE,14352,2860429
TRAVOPROST,899,2842084
GAVILYTE-G,4566,2829118
MINOXIDIL,7837,2826315
NPLATE,26,2816992
TIROSINT,1046,2791668
AUTOSHIELD DUO PEN NEEDLE,2112,2788628
LIDOCAINE HCL,7112,2775558
ZALEPLON,4902,2723728
OMNITROPE,125,2705069
LAZANDA,13,2681938
ZYPREXA ZYDIS,172,2662557
LAMICTAL ODT,253,2662380
FASLODEX,83,2661977
DANTROLENE SODIUM,1575,2654784
CERDELGA,6,2648324
PLEGRIDY,38,2633183
ELAPRASE,2,2626028
DESLORATADINE,3328,2621641
EXFORGE HCT,688,2618527
SPS,2004,2585419
ZOHYDRO ER,298,2576352
LESCOL XL,656,2551976
TRIHEXYPHENIDYL HCL,9452,2549897
CYPROHEPTADINE HCL,3428,2541351
ZELAPAR,53,2533681
FAMCICLOVIR,2392,2528753
ZOLOFT,665,2524875
BUTALB-CAFF-ACETAMINOPH-CODEIN,1766,2522164
OCTREOTIDE ACETATE,257,2515108
BUTORPHANOL TARTRATE,1487,2500332
NOVOFINE,3011,2494789
RIFAMPIN,2135,2490557
TEKTURNA HCT,955,2487476
DIBENZYLINE,18,2460410
CYCLOSET,274,2456702
BELSOMRA,584,2450097
PINDOLOL,1899,2449764
ARICEPT,394,2448364
ROXICODONE,119,2446059
NESINA,378,2425088
NEOMYCIN-POLYMYXIN-HYDROCORT,3995,2414984
CLINISOL,355,2413955
LASTACAFT,669,2409852
NORCO,436,2406438
KIONEX,1835,2354969
EPITOL,2736,2341947
QUINAPRIL-HYDROCHLOROTHIAZIDE,3404,2334892
FROVA,213,2333364
ETHAMBUTOL HCL,1570,2332937
TRICOR,930,2329832
LANOXIN,1357,2329493
NITROGLYCERIN,634,2329299
DICLOFENAC SODIUM ER,3964,2292766
TERBINAFINE HCL,10831,2282655
VALIUM,401,2266104
PAZEO,491,2255125
ERBITUX,14,2250091
ELELYSO,5,2247401
HYQVIA,27,2247319
AMRIX,148,2237689
ATOVAQUONE-PROGUANIL HCL,530,2236224
BUTALBITAL COMPOUND-CODEINE,974,2224909
PIPERACILLIN-TAZOBACTAM,667,2220292
LEUCOVORIN CALCIUM,1699,2212666
IMITREX,195,2212350
NUTROPIN AQ NUSPIN,58,2209711
LEVOCARNITINE,1366,2205741
LEUKERAN,300,2195621
VERAPAMIL SR,2969,2195496
CHOLESTYRAMINE LIGHT,1548,2188661
PEGASYS,41,2184097
MS CONTIN,135,2182795
TREXIMET,183,2182733
APLENZIN,74,2179467
FLUVASTATIN SODIUM,1030,2176501
GAMMAGARD S-D,21,2175208
TOBI PODHALER,18,2174842
ZOVIRAX,165,2174328
OXYTROL,345,2169031
APTIVUS,111,2162530
PERJETA,26,2154350
NEFAZODONE HCL,1553,2137173
GAVILYTE-C,2195,2124422
DAPSONE,2567,2117613
FORTAMET,64,2109712
QNASL,638,2103847
DEPAKOTE SPRINKLE,351,2102226
PANCREAZE,256,2096005
KYNAMRO,6,2077703
ENULOSE,3551,2076173
KERYDIN,108,2070962
POTIGA,141,2053484
LODOSYN,63,2050656
NEORAL,276,2031281
SIMCOR,548,2013512
LUCENTIS,28,2009323
PREPOPIK,693,2008601
EPOGEN,219,1994661
INDERAL LA,226,1992798
PROPYLTHIOURACIL,2085,1982601
VIRAMUNE XR,169,1965598
CLOBETASOL EMOLLIENT,654,1965179
ZOLINZA,17,1932031
ESTRADIOL-NORETHINDRONE ACETAT,931,1931713
PHENAZOPYRIDINE HCL,1845,1929136
PULMICORT,172,1923906
ZOCOR,513,1916013
DILAUDID,240,1890616
DIFLUNISAL,982,1884714
DETROL LA,532,1874497
TRANYLCYPROMINE SULFATE,425,1870000
SODIUM POLYSTYRENE SULFONATE,1087,1866459
OPIUM TINCTURE,202,1858496
INTRON A,76,1850533
LEVOXYL,2467,1845639
LEVORPHANOL TARTRATE,76,1844032
DIFLORASONE DIACETATE,231,1837591
CROMOLYN SODIUM,1515,1836600
THEO-24,1024,1833489
ZOMIG,179,1822421
ABRAXANE,22,1821213
ALOXI,58,1817748
MICARDIS,702,1807930
BUTALBITAL-ASPIRIN-CAFFEINE,1644,1800090
NAMZARIC,342,1793826
ERYPED 200,120,1784921
SYLATRON,17,1760903
PRANDIN,184,1749306
PERPHENAZINE-AMITRIPTYLINE,1670,1738689
FLUNISOLIDE,1588,1738426
NEOMYCIN-POLYMYXIN-HC,2522,1721902
NEVIRAPINE,1095,1702557
TERBUTALINE SULFATE,411,1695125
REMODULIN,6,1690321
LEVOBUNOLOL HCL,2685,1684798
LEVEMIR FLEXPEN,286,1678105
PLAQUENIL,276,1678028
SUMAVEL DOSEPRO,79,1677067
PREVALITE,1130,1672652
VGO 30,298,1646567
VGO 20,274,1646206
EASY TOUCH PEN NEEDLE,3063,1625693
KEYTRUDA,9,1625187
DEXEDRINE,77,1625028
MINIVELLE,678,1620957
PRED FORTE,269,1615217
BETIMOL,704,1614136
TRIZIVIR,73,1614043
ENALAPRIL-HYDROCHLOROTHIAZIDE,6594,1599288
DEXTROSE IN WATER,1134,1585163
CEFPROZIL,1399,1584997
CARAC,43,1581216
CYCLOPHOSPHAMIDE,173,1575796
GELNIQUE,322,1569969
ZOLEDRONIC ACID,154,1567340
AMILORIDE HCL,2233,1561810
MOVANTIK,365,1551817
MILRINONE LACTATE,57,1548292
TERCONAZOLE,2085,1533562
TENORMIN,372,1524750
MATZIM LA,1184,1523748
PENTAZOCINE-NALOXONE HCL,512,1518083
MYCAMINE,70,1510781
DOCETAXEL,47,1510515
SALSALATE,521,1508233
NICOTROL,323,1497608
ACTIQ,7,1495322
SSD,3159,1488189
COZAAR,800,1475197
CEFADROXIL,4522,1472384
PAXIL,460,1470460
KRISTALOSE,267,1470321
EPINASTINE HCL,796,1462039
GENERLAC,4068,1460211
CYCLOSPORINE,275,1454359
OXALIPLATIN,46,1453892
SIMPONI ARIA,15,1453020
NIASPAN,382,1452701
ALBENZA,13,1446848
NARATRIPTAN HCL,1163,1440741
BUPHENYL,10,1439669
SPORANOX,46,1437723
PROBENECID,2501,1428247
DENAVIR,117,1422768
VIMIZIM,1,1416815
LOTREL,451,1415157
ILARIS,5,1409580
NICOTROL NS,218,1399038
SUMATRIPTAN,334,1397064
METOPROLOL-HYDROCHLOROTHIAZIDE,1837,1388488
ORPHENADRINE CITRATE,2173,1379021
DYRENIUM,355,1377155
POLYMYXIN B SUL-TRIMETHOPRIM,2953,1369085
COSOPT,383,1363570
ISOSORBIDE MONONITRATE,5760,1354830
HYSINGLA ER,193,1351903
FEMARA,139,1351016
REXULTI,91,1348427
MICARDIS HCT,500,1340090
ACAMPROSATE CALCIUM,587,1339886
ZYMAXID,163,1321815
THEOPHYLLINE,1409,1316005
ZYLET,222,1296312
STIOLTO RESPIMAT,202,1292108
EQUETRO,251,1287128
MESALAMINE,286,1277439
MONUROL,353,1268927
TRANDOLAPRIL,3853,1264884
AVAPRO,569,1262550
ZOLMITRIPTAN,715,1261232
ALINIA,62,1259743
ZIRGAN,242,1253141
CANDESARTAN-HYDROCHLOROTHIAZID,884,1245159
CIMETIDINE,2735,1244498
DIPENTUM,80,1227963
ALCLOMETASONE DIPROPIONATE,673,1221079
COMBIVIR,98,1219470
VICODIN ES,592,1216892
CAMBIA,130,1216264
MEPRON,50,1214603
TOBRAMYCIN,3281,1209596
DONEPEZIL HCL ODT,1739,1207040
ERY-TAB,260,1205114
RYTHMOL SR,144,1203330
ESTAZOLAM,1222,1195496
RIFABUTIN,134,1193980
ADAGEN,1,1193562
BETAXOLOL HCL,818,1192044
DIDANOSINE,328,1184002
MEPROBAMATE,369,1181101
VERSACLOZ,33,1172584
CYRAMZA,11,1172356
HYDROCORTISONE BUTYRATE,434,1170488
PIOGLITAZONE-GLIMEPIRIDE,202,1166480
ERYPED 400,61,1163521
CALCIPOTRIENE-BETAMETHASONE DP,92,1158861
CLIMARA,620,1153923
ARCAPTA NEOHALER,258,1152266
TYVASO,6,1147983
PEG-3350 AND ELECTROLYTES,2801,1146474
TACLONEX,65,1146430
ZORVOLEX,282,1144146
VASOTEC,101,1124823
ETHOSUXIMIDE,571,1118602
PROBENECID-COLCHICINE,1455,1106481
GENGRAF,285,1106269
COLISTIMETHATE,97,1102077
WELLBUTRIN SR,255,1101561
ASCOMP WITH CODEINE,545,1098704
COREG,367,1098586
FORTICAL,929,1091845
COMBIPATCH,500,1090961
ARIMIDEX,147,1088811
ACTOS,175,1087468
METHYLPHENIDATE LA,443,1086700
ACEBUTOLOL HCL,3089,1080316
OTREXUP,98,1080090
UROXATRAL,138,1078711
MIGRANAL,25,1074283
PRAMIPEXOLE ER,128,1065431
FLEBOGAMMA DIF,15,1065005
TREANDA,9,1064190
DIFICID,21,1063450
VALTREX,185,1063155
HYZAAR,511,1055547
ERYTHROCIN STEARATE,165,1051774
INCRUSE ELLIPTA,223,1045514
NAFCILLIN SODIUM,104,1044518
NORETHINDRONE ACETATE,959,1042168
QUININE SULFATE,393,1035532
AZACITIDINE,15,1023202
CYSTADANE,29,1019367
ZUBSOLV,170,1018280
KLOR-CON,360,1016971
IMIPRAMINE PAMOATE,244,1014271
RIBASPHERE,318,1012225
MOEXIPRIL HCL,1669,1012084
MOXEZA,139,1009907
ARESTIN,19,1008266
QUINIDINE GLUCONATE,175,1001568
NICARDIPINE HCL,396,998144
OXISTAT,102,986889
CANCIDAS,19,980590
FLUOCINONIDE-E,400,974787
DEPAKENE,100,972799
EASY COMFORT PEN NEEDLES,903,970344
METHSCOPOLAMINE BROMIDE,360,964215
INDOMETHACIN,3001,963487
LACRISERT,124,954188
ALPRAZOLAM ER,1747,946160
GUANFACINE HCL ER,356,943141
METHYLERGONOVINE MALEATE,25,932370
FARESTON,51,928275
ADVICOR,253,921405
PRILOSEC,178,919237
VICODIN,688,918484
CHLORZOXAZONE,1614,918290
HUMIRA PEN PSORIASIS,11,917754
FARYDAK,9,914815
CLARITHROMYCIN ER,601,909780
KAZANO,150,909664
MAXALT,105,909404
ANTARA,127,897398
EVZIO,58,897363
ADDERALL,163,884082
DANAZOL,241,878510
KADCYLA,8,876568
DEMSER,3,872702
REQUIP XL,136,872418
RIDAURA,45,870425
PAXIL CR,326,869676
VERAMYST,343,866282
VICODIN HP,278,857108
IMIPENEM-CILASTATIN SODIUM,264,855657
LINEZOLID,48,855362
PULMOZYME,16,843903
SANDOSTATIN,10,832413
SODIUM BICARBONATE,678,831307
ZESTRIL,228,829211
ULTRAM,193,828914
PEN NEEDLE,2756,825855
BUPRENEX,23,825013
TAZORAC,104,819298
GLYSET,236,813457
ARIXTRA,16,811083
SOTALOL AF,1982,806881
CAPTOPRIL-HYDROCHLOROTHIAZIDE,656,805122
CONCERTA,175,802176
CORDRAN,114,799879
ENTYVIO,12,799803
SOLARAZE,21,794337
ZYCLARA,38,793945
NITRO-DUR,388,792093
GEMCITABINE HCL,50,787710
CATAPRES-TTS 3,131,786644
SYMLINPEN 60,69,783353
MIRAPEX,147,782929
ATACAND,469,778596
ENTOCORT EC,37,770742
COMFORT EZ,756,769563
DEXAMETHASONE SODIUM PHOSPHATE,1165,768524
ZIPSOR,92,764516
CEFAZOLIN SODIUM,642,764361
HALOPERIDOL LACTATE,1341,759425
STAXYN,75,757750
PEXEVA,127,756070
ISRADIPINE,519,750611
PROMETHEGAN,206,749049
DEPEN,16,745155
HYDROCORTISONE-ACETIC ACID,364,730757
AROMASIN,75,730149
PHENYTEK,746,728420
AMILORIDE-HYDROCHLOROTHIAZIDE,2320,723329
SIGNIFOR,5,722504
STALEVO 100,76,717420
BUTALB-ACETAMINOPH-CAFF-CODEIN,142,713143
PROTRIPTYLINE HCL,298,710470
TOBRAMYCIN SULFATE,264,707417
GLUCOPHAGE,457,703459
DISOPYRAMIDE PHOSPHATE,643,703405
FULYZAQ,74,702917
PEN NEEDLES,1388,701291
ENTRESTO,94,699674
PATANASE,151,697805
METHYLPHENIDATE HCL CD,260,697438
SUCRAID,6,695238
CELEXA,222,695199
BONIVA,190,692062
CLINDAMYCIN-BENZOYL PEROXIDE,148,691977
CYTOMEL,482,691414
SYNRIBO,8,689687
LEVITRA,167,688157
MONOJECT INSULIN SYRINGE,1010,686243
NOVOTWIST,749,683600
ZOSYN,148,682037
FIORINAL WITH CODEINE #3,61,680859
NALBUPHINE HCL,131,680600
DESVENLAFAXINE ER,252,679778
ALOSETRON HCL,31,677307
VECTIBIX,7,670990
ANADROL-50,10,670120
ATROPINE SULFATE,1196,669343
NATPARA,6,667918
MEPERIDINE HCL,701,667249
SULFACETAMIDE SODIUM,804,661658
TETRACYCLINE HCL,145,658201
CODEINE SULFATE,639,654560
CYSTARAN,13,652662
TWINRIX,132,649459
DDAVP,40,649337
SOMA,56,649037
CHLORDIAZEPOXIDE-AMITRIPTYLINE,588,644508
SODIUM PHENYLBUTYRATE,4,643597
EPIVIR,269,643195
ERYTHROMYCIN-BENZOYL PEROXIDE,304,643022
PAMELOR,31,640667
ACETYLCYSTEINE,627,636074
CARDIZEM LA,320,634110
MENEST,808,633797
ALTACE,280,632560
NIMODIPINE,21,632329
ORAP,325,626974
INNOPRAN XL,82,624431
SANDIMMUNE,86,622216
GUANFACINE HCL,3000,621504
TRILIPIX,215,621399
DISULFIRAM,488,619261
AMPICILLIN SODIUM,237,618328
METHOXSALEN,15,618014
SINEMET 25-100,172,617542
MARINOL,21,617391
NIZATIDINE,1454,607940
MAXALT MLT,99,607814
DIPYRIDAMOLE,1597,607316
SINGLE USE SWAB,6064,604935
MIGERGOT,46,604922
KLONOPIN,233,603707
ANAFRANIL,20,602050
HEPSERA,41,599619
CATAPRES-TTS 2,128,598281
METHAMPHETAMINE HCL,52,597461
NULOJIX,18,596843
AFEDITAB CR,1253,591987
ZIAGEN,86,589085
LITHOBID,109,583696
MIMVEY,360,582139
PROAIR RESPICLICK,477,577775
SUPRAX,130,577498
OSMOPREP,149,575382
AZTREONAM,56,571610
HALOG,37,571423
AMIKACIN SULFATE,369,567336
FOCALIN XR,113,564041
EASY TOUCH,1329,557947
LIDOCAINE HCL VISCOUS,2967,547895
STALEVO 150,65,541547
SORIATANE,32,537484
GRISEOFULVIN ULTRAMICROSIZE,96,537023
DEXMETHYLPHENIDATE HCL ER,174,535670
AMPICILLIN-SULBACTAM,268,534958
SAVAYSA,108,532244
VITAMIN D2,1663,531487
OMNARIS,164,524283
RITALIN LA,116,522645
PARNATE,34,520184
EMBEDA,47,518070
FIRMAGON,34,515882
SIVEXTRO,8,513284
ZETONNA,164,512168
RIOMET,136,510114
ZYFLO,16,509895
CADUET,134,508162
PROCARDIA XL,194,508067
ISORDIL,48,506273
FLUOXETINE DR,251,505654
ELIPHOS,147,503673
ALTOPREV,75,500848
LIPOFEN,176,500739
PHENELZINE SULFATE,458,495453
PRED MILD,148,490972
CEFEPIME,120,489935
REQUIP,95,488334
DEPO-TESTOSTERONE,567,486909
OXACILLIN SODIUM,52,484501
NEOMYCIN SULFATE,1102,483231
CEFTAZIDIME,215,482481
BICILLIN L-A,79,482303
PACERONE,431,481109
AMOXICILLIN-CLAVULANATE POT ER,251,478467
ASTEPRO,174,472500
CLICKFINE,1293,465813
VECTICAL,140,463926
EVOXAC,83,463642
STALEVO 200,53,460964
FLUTAMIDE,253,454458
ACTOPLUS MET XR,66,454442
AVALIDE,185,453636
TRUEPLUS INSULIN SYRINGE,1125,448009
ARCALYST,2,447517
MONOJECT INSULIN SAFETY SYRNG,493,447085
ACETIC ACID,1008,445146
TARKA,207,443843
OPANA,25,440360
EDLUAR,93,439516
ZIDOVUDINE,648,438970
HAVRIX,139,435732
TRAVASOL,97,435632
NALOXONE HCL,80,434088
FLURAZEPAM HCL,1335,433029
DIPHENHYDRAMINE HCL,780,431910
NAPRELAN,35,426917
PHOSLYRA,130,425477
LORZONE,59,424221
ZOFRAN,15,423997
NITROLINGUAL,61,423160
BINOSTO,100,420712
PROGLYCEM,34,420271
CRIXIVAN,72,419551
IVERMECTIN,515,419394
SELENIUM SULFIDE,1233,419148
CLONIDINE HCL ER,102,417037
FOSAMAX PLUS D,208,414612
METHOTREXATE SODIUM,1247,412267
CLARINEX,161,411942
ZANTAC,83,411811
HECTOROL,37,410317
AMPICILLIN TRIHYDRATE,2734,410202
FOSINOPRIL-HYDROCHLOROTHIAZIDE,646,410079
LAMOTRIGINE ODT,59,409236
FML FORTE,173,409031
DICLOXACILLIN SODIUM,672,408393
RESTORIL,53,408041
FIORICET,78,408016
EURAX,47,406967
COMTAN,48,406227
GENVOYA,10,405775
TOPIRAMATE ER,52,404650
SKELAXIN,61,401446
LORAZEPAM INTENSOL,608,399751
AXERT,57,399198
DIVIGEL,191,397412
BETAPACE,46,395156
STAVUDINE,279,395152
CELONTIN,131,394151
PROLEUKIN,3,393613
TOLCAPONE,3,393444
FLURBIPROFEN,724,393419
PROTOPIC,34,393117
GLUCOPHAGE XR,277,386867
FEMRING,63,379623
GRANISETRON HCL,116,378864
TYPHIM VI,96,376623
RISPERDAL M-TAB,34,376311
JINTELI,348,375247
FLAVOXATE HCL,355,374707
PERINDOPRIL ERBUMINE,670,373431
INTUNIV,79,370639
PHENADOZ,149,370374
PINNACAINE,5,368762
FORFIVO XL,94,368681
PRAVACHOL,130,368554
DECITABINE,3,366788
YERVOY,1,362638
FOLIC ACID,2336,361914
CALAN SR,137,360630
GLYXAMBI,43,357994
IRINOTECAN HCL,29,353133
TOBRADEX ST,101,351013
ZEMPLAR,69,349468
SULAR,51,349148
REMERON,160,348165
CILOXAN,111,347905
PRENATAL PLUS,1371,346141
CEFACLOR,262,345875
RITALIN,194,345823
OXYCODONE HCL-ASPIRIN,293,344966
PHOSPHA 250 NEUTRAL,569,344590
ABILIFY DISCMELT,24,344105
FLURBIPROFEN SODIUM,432,344084
XIGDUO XR,62,343175
NUTROPIN AQ,18,339672
BUPAP,30,338749
NAPHAZOLINE HCL,534,338668
COSENTYX (2 SYRINGES),3,334836
AMARYL,176,333550
CHLORDIAZEPOXIDE HCL,2412,333347
SYMBYAX,47,332253
TESTRED,2,331079
RILUTEK,12,330641
ROCALTROL,194,328323
METHYLDOPA,1210,323217
NUVARING,223,322990
NAPROXEN SODIUM CR,11,321096
ZONTIVITY,54,320683
CORTIFOAM,35,319864
RETIN-A,231,318060
ANZEMET,5,315802
AMOXAPINE,417,315497
BECONASE AQ,89,314815
RENACIDIN,236,311704
SURMONTIL,58,306171
PYRIDOSTIGMINE BROMIDE ER,24,305019
DEXTROSE 5%-0.45% NACL,854,302015
ESTROPIPATE,1050,294287
MITOMYCIN,12,293951
VIRAMUNE,32,293224
DIASTAT ACUDIAL,26,292014
CORLANOR,45,291368
ZOLMITRIPTAN ODT,155,289757
SULFADIAZINE,50,289045
MOBIC,73,288315
BRISDELLE,126,287674
NIFEDIPINE,260,287565
ARTHROTEC 75,80,287105
CEFOXITIN,64,286415
ARAVA,17,285247
ROBAXIN,5,282528
RASUVO,28,281340
REPATHA SURECLICK,12,281083
STALEVO 125,36,280588
UNIFINE PENTIPS PLUS,617,280320
VIOKACE,19,275712
BACITRACIN-POLYMYXIN,522,273105
SINEMET CR,83,271434
TELMISARTAN-AMLODIPINE,146,269526
XULANE,197,268195
ZANAFLEX,61,267019
CONSTULOSE,539,265170
LONSURF,3,264844
BUTALBITAL-ACETAMINOPHEN,272,264338
CLIMARA PRO,135,264276
ABELCET,12,262920
ERYTHROMYCIN ETHYLSUCCINATE,56,261057
HYOSCYAMINE SULFATE,380,258656
POLYMYXIN B SULFATE,118,258166
PROSCAR,108,257416
ATACAND HCT,150,257412
DEXMETHYLPHENIDATE HCL,246,257239
AMINOCAPROIC ACID,31,253285
UNITHROID,330,252381
HUMALOG KWIKPEN U-200,17,251781
GRANIX,9,251506
PROCHLORPERAZINE,143,249647
DEMEROL,150,248922
CLOBEX,21,247545
ORTHO TRI-CYCLEN LO,145,247473
ZORBTIVE,1,245515
ULTRA COMFORT,770,244938
PHOSPHOLINE IODIDE,86,244867
GLYBURIDE MICRONIZED,1160,243690
INTERMEZZO,69,243624
ZOLADEX,14,243364
JEVTANA,2,241285
BETAPACE AF,34,239431
TRILYTE WITH FLAVOR PACKETS,569,239156
PYLERA,25,235179
DAYTRANA,58,235021
ACCUPRIL,152,233584
ZERBAXA,14,233254
FUSILEV,5,232494
TORISEL,3,231374
RIMSO-50,21,231276
LASIX,437,230938
PROMETHAZINE VC,246,230408
CUVPOSA,32,228160
DESOXYN,15,227522
WATER,461,227395
PREVIDENT,878,226640
IMURAN,49,226556
ULTRACET,62,226129
AFREZZA,34,224617
MOZOBIL,1,223898
FIORICET WITH CODEINE,20,223843
KENALOG-40,492,223327
PREDNISOLONE SODIUM PHOSPHATE,237,223112
VENTAVIS,1,221826
BUNAVAIL,33,221613
MODERIBA,13,221500
ADAPALENE,80,221295
XEOMIN,6,220717
TRIMETHOBENZAMIDE HCL,170,220634
DUAVEE,90,220360
DERMASILKRX SDS,3,219953
LUPRON DEPOT-PED,10,219838
